# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	7086
#@/user_id	76c8a36a-966b-414b-94e3-75dde62f30cd
fang bian 	方便	c=2 d=0.408607 t=7086
fang da 	放大	c=2 d=0.433874 t=7086
fang fang 	芳芳	c=4 d=9.99705e-05 t=7086
fang ni 	放你	c=1 d=0.0332068 t=7086
fang shi 	方式	c=1 d=2.28935e-09 t=7086
fang yi qi 	放一起	c=1 d=6.75654e-06 t=7086
fang zhi 	防止	c=1 d=1.85123e-10 t=7086
fei 	非	c=4 d=0.903344 t=7086
fei chang 	非常	c=2 d=4.14342e-08 t=7086
fei chang da 	非常大	c=1 d=1.96063e-09 t=7086
fei jin 	费劲	c=0 d=1.62136e-10 t=7086
fei kong 	非空	c=2 d=4.72064e-09 t=7086
fei wang huo 	非网货	c=3 d=0.000101546 t=7086
fei yi hui 	飞一会	c=0 d=0.00372538 t=7086
fen 	分	c=1 d=1.78725e-08 t=7086
fen bie 	分别	c=5 d=0.0141019 t=7086
fen fang 	芬芳	c=0 d=1.82336e-09 t=7086
fen hen 	愤恨	c=1 d=1.82336e-08 t=7086
fen kai 	分开	c=4 d=0.685311 t=7086
fen xi 	分析	c=14 d=0.337864 t=7086
fen zhi 	分支	c=2 d=3.67628e-05 t=7086
fen zhong 	分钟	c=1 d=0.110251 t=7086
fen zi 	分子	c=1 d=4.26529e-06 t=7086
feng 	冯	c=1 d=0.000232877 t=7086
feng ge 	风格	c=3 d=0.161811 t=7086
fou ze 	否则	c=1 d=0.606531 t=7086
fu cha 	复查	c=1 d=4.3642e-11 t=7086
fu gai 	覆盖	c=2 d=6.09557e-10 t=7086
fu he 	符合	c=2 d=0.946485 t=7086
fu he 	附和	c=1 d=6.74254e-11 t=7086
fu jian 	附件	c=1 d=0.25666 t=7086
fu wen ben 	富文本	c=1 d=0.524662 t=7086
fu wu 	服务	c=4 d=6.78445e-07 t=7086
fu xian 	复现	c=1 d=0.000288735 t=7086
fu xian 	浮现	c=1 d=0.000287295 t=7086
fu za 	复杂	c=1 d=0.516851 t=7086
fu ze ren 	负责人	c=3 d=0.76338 t=7086
fu zhi 	复制	c=1 d=1.86437e-05 t=7086
gai 	改	c=1 d=1.60468e-05 t=7086
gai 	该	c=4 d=0.0699741 t=7086
gai cheng 	改成	c=6 d=0.120284 t=7086
gai dong 	改动	c=1 d=2.69307e-08 t=7086
gai fa 	该法	c=0 d=1.67911e-10 t=7086
gai fen 	该分	c=1 d=1.79621e-08 t=7086
gai hao 	盖好	c=3 d=0.00029664 t=7086
gai hao le 	改好了	c=1 d=1.23452e-08 t=7086
gai le 	改了	c=2 d=0.359684 t=7086
gai tu 	改土	c=1 d=2.78227e-09 t=7086
gai wo 	该我	c=1 d=1.98e-07 t=7086
gai yi xia 	改一下	c=2 d=2.53615e-05 t=7086
gan huo 	干活	c=1 d=6.84444e-11 t=7086
gan jin 	赶紧	c=1 d=0.540641 t=7086
gan jing 	干净	c=1 d=0.537944 t=7086
gan jue 	感觉	c=5 d=0.0626499 t=7086
gan mao ling 	感冒灵	c=1 d=1.28512e-10 t=7086
gan shou bu dao 	感受不到	c=1 d=3.68193e-11 t=7086
gang 	刚	c=1 d=1.19803e-08 t=7086
gang cai 	刚才	c=2 d=5.57145e-05 t=7086
gang hao 	刚好	c=1 d=1.12846e-10 t=7086
gao 	高	c=1 d=0.00423234 t=7086
gao ding 	搞定	c=1 d=8.41916e-06 t=7086
gao shao 	高烧	c=2 d=0.0744348 t=7086
gao su 	告诉	c=1 d=7.50711e-10 t=7086
gao su ta 	告诉他	c=1 d=5.41009e-09 t=7086
gao xing de 	高兴的	c=1 d=0.00124951 t=7086
gao xing neng 	高性能	c=3 d=0.0275559 t=7086
ge 	个	c=5 d=0.000751174 t=7086
